[2025-06-22 18:10:35]   79 | INFO     | Data after dropping target saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\transformed\features_dropped_target.csv
[2025-06-22 18:10:35]   82 | INFO     | Applying preprocessing transformation...
[2025-06-22 18:10:35]   84 | INFO     | Preprocessing completed. Transformed shape: (41944, 42)
[2025-06-22 18:10:35]   87 | INFO     | Generating predictions...
[2025-06-22 18:10:37]   95 | INFO     | Batch predictions saved to: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\prediction_csv\output.csv
[2025-06-22 18:10:37]   97 | INFO     | Batch prediction pipeline completed successfully.
[2025-06-22 18:10:37]   96 | INFO     | Batch prediction completed.
[2025-06-22 18:11:12]   90 | INFO     | CSV uploaded for batch prediction: raw_data.csv
[2025-06-22 18:11:12]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 18:11:12]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 18:11:12]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 18:11:12]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 18:11:12]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 18:11:12]   51 | INFO     | Loading model...
[2025-06-22 18:11:12]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 18:11:13]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 18:11:13]   63 | INFO     | Applying feature engineering...
[2025-06-22 18:11:13]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:11:13]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:11:13]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:11:13]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:11:13]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:11:13]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:11:13]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:11:13]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 18:11:13]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:11:13]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:11:13]   69 | INFO     | Feature engineered data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\feature_eng\feature_engineered.csv
[2025-06-22 18:11:13]   74 | INFO     | Dropped target column 'Time_taken (min)' from features.
[2025-06-22 18:11:14]   79 | INFO     | Data after dropping target saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\transformed\features_dropped_target.csv
[2025-06-22 18:11:14]   82 | INFO     | Applying preprocessing transformation...
[2025-06-22 18:11:14]   84 | INFO     | Preprocessing completed. Transformed shape: (41944, 42)
[2025-06-22 18:11:14]   87 | INFO     | Generating predictions...
[2025-06-22 18:11:15]   95 | INFO     | Batch predictions saved to: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\prediction_csv\output.csv
[2025-06-22 18:11:15]   97 | INFO     | Batch prediction pipeline completed successfully.
[2025-06-22 18:11:15]   96 | INFO     | Batch prediction completed.
[2025-06-22 18:11:45]   90 | INFO     | CSV uploaded for batch prediction: raw_data.csv
[2025-06-22 18:11:45]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 18:11:45]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 18:11:45]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 18:11:45]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 18:11:45]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 18:11:45]   51 | INFO     | Loading model...
[2025-06-22 18:11:45]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 18:11:46]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 18:11:46]   63 | INFO     | Applying feature engineering...
[2025-06-22 18:11:46]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:11:46]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:11:46]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:11:46]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:11:46]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:11:46]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:11:46]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:11:46]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 18:11:46]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:11:46]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:11:47]   69 | INFO     | Feature engineered data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\feature_eng\feature_engineered.csv
[2025-06-22 18:11:47]   74 | INFO     | Dropped target column 'Time_taken (min)' from features.
[2025-06-22 18:11:47]   79 | INFO     | Data after dropping target saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\transformed\features_dropped_target.csv
[2025-06-22 18:11:47]   82 | INFO     | Applying preprocessing transformation...
[2025-06-22 18:11:47]   84 | INFO     | Preprocessing completed. Transformed shape: (41944, 42)
[2025-06-22 18:11:47]   87 | INFO     | Generating predictions...
[2025-06-22 18:11:49]   95 | INFO     | Batch predictions saved to: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\prediction_csv\output.csv
[2025-06-22 18:11:49]   97 | INFO     | Batch prediction pipeline completed successfully.
[2025-06-22 18:11:49]   96 | INFO     | Batch prediction completed.
[2025-06-22 18:11:55]   90 | INFO     | CSV uploaded for batch prediction: raw_data.csv
[2025-06-22 18:11:55]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 18:11:55]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 18:11:55]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 18:11:55]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 18:11:55]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 18:11:55]   51 | INFO     | Loading model...
[2025-06-22 18:11:55]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 18:11:56]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 18:11:56]   63 | INFO     | Applying feature engineering...
[2025-06-22 18:11:56]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:11:56]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:11:56]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:11:56]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:11:56]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:11:56]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:11:56]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:11:56]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
